,step,n_step,ae_model_type,codebook_size,env_name,filter_size,final_latent_dim,latent_dim,experiment_key,goal_state_distrib_kl_div,goal_delayed_state_distrib_kl_div,goal_uniform_distrib_kl_div,explore_right_state_distrib_kl_div,explore_right_delayed_state_distrib_kl_div,explore_right_uniform_distrib_kl_div
145,21,21,ae,None,minigrid-door-key-stochastic,8,1024,1024,3c38a92e39cd405da6a745e330135926,12.72258472442627,0.024281304329633713,4.248812198638916,,,
146,22,22,ae,None,minigrid-door-key-stochastic,8,1024,1024,3c38a92e39cd405da6a745e330135926,12.219684600830078,0.02477777563035488,4.444065570831299,,,
147,23,23,ae,None,minigrid-door-key-stochastic,8,1024,1024,3c38a92e39cd405da6a745e330135926,13.1246919631958,0.01776871085166931,4.638254165649414,,,
148,24,24,ae,None,minigrid-door-key-stochastic,8,1024,1024,3c38a92e39cd405da6a745e330135926,14.001486778259277,0.018604129552841187,4.8197922706604,,,
149,25,25,ae,None,minigrid-door-key-stochastic,8,1024,1024,3c38a92e39cd405da6a745e330135926,14.679038047790527,0.015962541103363037,4.983548641204834,,,
150,26,26,ae,None,minigrid-door-key-stochastic,8,1024,1024,3c38a92e39cd405da6a745e330135926,15.37350082397461,0.015916822478175163,5.131689548492432,,,
151,27,27,ae,None,minigrid-door-key-stochastic,8,1024,1024,3c38a92e39cd405da6a745e330135926,15.914044380187988,0.015015020966529846,5.262822151184082,,,
152,28,28,ae,None,minigrid-door-key-stochastic,8,1024,1024,3c38a92e39cd405da6a745e330135926,16.385902404785156,0.012370595708489418,5.36965274810791,,,
153,29,29,ae,None,minigrid-door-key-stochastic,8,1024,1024,3c38a92e39cd405da6a745e330135926,16.7552433013916,0.006957567296922207,5.466979503631592,,,
154,30,30,ae,None,minigrid-door-key-stochastic,8,1024,1024,3c38a92e39cd405da6a745e330135926,17.08527946472168,0.00873125996440649,5.54659366607666,,,
155,0,0,ae,None,minigrid-door-key-stochastic,8,1024,1024,bba39780ae6f452fb0f1bffff3487ad5,,,,,,
156,1,1,ae,None,minigrid-door-key-stochastic,8,1024,1024,bba39780ae6f452fb0f1bffff3487ad5,0.052406348288059235,-3.2975943753399406E-8,5.214484691619873,,,
157,2,2,ae,None,minigrid-door-key-stochastic,8,1024,1024,bba39780ae6f452fb0f1bffff3487ad5,0.08335264027118683,9.948359489440918,4.824257850646973,,,
